Creating test database for alias 'default'...
Destroying test database for alias 'default'...
         10024283 function calls (9818849 primitive calls) in 10.741 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    35796    0.029    0.000    0.147    0.000 query.py:810(get_initial_alias)
      656    0.007    0.000    0.146    0.000 related.py:544(get_queryset)
  235/230    0.000    0.000    0.145    0.001 importlib.py:23(import_module)
       36    0.003    0.000    0.144    0.004 __init__.py:61(create_permissions)
      581    0.000    0.000    0.144    0.000 models.py:103(is_raw)
       18    0.000    0.000    0.143    0.008 base.py:689(delete)
    15620    0.034    0.000    0.139    0.000 query.py:895(setup_inherited_models)
368218/366618    0.094    0.000    0.136    0.000 {getattr}
    97/35    0.001    0.000    0.134    0.004 deletion.py:145(collect)
    20354    0.049    0.000    0.133    0.000 where.py:262(sql_for_columns)
    22539    0.081    0.000    0.133    0.000 query_utils.py:43(__init__)
      148    0.001    0.000    0.133    0.001 models.py:58(start)
    57/50    0.000    0.000    0.132    0.003 base.py:918(full_clean)
    18569    0.060    0.000    0.131    0.000 query.py:193(get_compiler)
    91/24    0.001    0.000    0.130    0.005 models.py:610(recursive_pipeline_check)
        1    0.000    0.000    0.130    0.130 __init__.py:254(fetch_command)
      772    0.002    0.000    0.128    0.000 manager.py:231(_insert)
        1    0.000    0.000    0.126    0.126 flush.py:30(handle_noargs)
      283    0.001    0.000    0.126    0.000 manager.py:228(exists)
      772    0.003    0.000    0.125    0.000 query.py:1503(insert_query)
       24    0.000    0.000    0.125    0.005 models.py:195(create_xput)
  819/574    0.003    0.000    0.124    0.000 {method 'format' of 'unicode' objects}
      567    0.002    0.000    0.124    0.000 models.py:92(is_pipeline)
        1    0.000    0.000    0.124    0.124 tests_rm.py:48(setUp)
      212    0.001    0.000    0.120    0.001 related.py:456(create)
       12    0.001    0.000    0.118    0.010 models.py:552(run_code)
        1    0.001    0.001    0.118    0.118 syncdb.py:27(handle_noargs)
      737    0.001    0.000    0.117    0.000 base.py:681(_do_insert)
